id,question,final_decision
pubmedqa_934,"Suturing of the nasal septum after septoplasty, is it an effective alternative to nasal packing?",yes
pubmedqa_567,Is discordance in TEOAE and AABR outcomes predictable in newborns?,yes
pubmedqa_594,Are bipolar disorders underdiagnosed in patients with depressive episodes?,maybe
pubmedqa_530,Is robotically assisted laparoscopic radical prostatectomy less invasive than retropubic radical prostatectomy?,yes
pubmedqa_581,Can vaginal pH be measured from the wet mount slide?,no
pubmedqa_707,Does preloading with colloids prevent hemodynamic changes when neurosurgical patients are subsequently changed to the seated position?,yes
pubmedqa_448,Does quantitative left ventricular regional wall motion change after fibrous tissue resection in endomyocardial fibrosis?,no
pubmedqa_453,Is the Retromandibular Transparotid Approach a Reliable Option for the Surgical Treatment of Condylar Fractures?,yes
pubmedqa_228,Are there mental health differences between francophone and non-francophone populations in manitoba?,maybe
pubmedqa_352,Is determination between complete and incomplete traumatic spinal cord injury clinically relevant?,maybe
pubmedqa_728,Do we need imaging to diagnose appendicitis in children?,maybe
pubmedqa_212,The Deformity Angular Ratio: Does It Correlate With High-Risk Cases for Potential Spinal Cord Monitoring Alerts in Pediatric 3-Column Thoracic Spinal Deformity Corrective Surgery?,yes
pubmedqa_79,Does the clinical presentation of a prior preterm birth predict risk in a subsequent pregnancy?,yes
pubmedqa_148,Do all ethnic groups in New Zealand exhibit socio-economic mortality gradients?,yes
pubmedqa_302,Could the extent of lymphadenectomy be modified by neoadjuvant chemotherapy in cervical cancer?,no
pubmedqa_628,Are lower fasting plasma glucose levels at diagnosis of type 2 diabetes associated with improved outcomes?,yes
pubmedqa_777,Is hypoalbuminemia an independent prognostic factor in patients with gastric cancer?,no
pubmedqa_506,Does ischemic preconditioning require reperfusion before index ischemia?,no
pubmedqa_342,Can we rely on arterial line sampling in performing activated plasma thromboplastin time after cardiac surgery?,no
pubmedqa_485,Is obesity a risk factor for wheezing among adolescents?,yes
pubmedqa_711,Can clinicians use the PHQ-9 to assess depression in people with vision loss?,yes
pubmedqa_133,The inverse equity hypothesis: does it apply to coverage of cancer screening in middle-income countries?,yes
pubmedqa_703,Do viral infections have a role in benign paroxysmal positional vertigo?,yes
pubmedqa_311,Is controlled ovarian stimulation in intrauterine insemination an acceptable therapy in couples with unexplained non-conception in the perspective of multiple pregnancies?,no
pubmedqa_722,Do women residents delay childbearing due to perceived career threats?,yes
pubmedqa_629,Do elderly patients call 911 when presented with clinical scenarios suggestive of acute stroke?,maybe
pubmedqa_0,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,yes
pubmedqa_316,Do older patients who refuse to participate in a self-management intervention in the Netherlands differ from older patients who agree to participate?,yes
pubmedqa_706,Does psychological distress predict disability?,yes
pubmedqa_547,Out of the smokescreen II: will an advertisement targeting the tobacco industry affect young people's perception of smoking in movies and their intention to smoke?,yes
pubmedqa_872,Recurrent spontaneous abortion and skewed X-inactivation: is there an association?,no
pubmedqa_532,c-Kit-dependent growth of uveal melanoma cells: a potential therapeutic target?,yes
pubmedqa_477,Colorectal cancer in young patients: is it a distinct clinical entity?,yes
pubmedqa_404,Does binge drinking during early pregnancy increase the risk of psychomotor deficits?,no
pubmedqa_172,Are patients willing participants in the new wave of community-based medical education in regional and rural Australia?,yes
pubmedqa_125,Is duration of psychological treatment for depression related to return into treatment?,yes
pubmedqa_394,Are interstitial fluid concentrations of meropenem equivalent to plasma concentrations in critically ill patients receiving continuous renal replacement therapy?,no
pubmedqa_420,Does accompanying metabolic syndrome contribute to heart dimensions in hypertensive patients?,maybe
pubmedqa_552,Is Alveolar Macrophage Phagocytic Dysfunction in Children With Protracted Bacterial Bronchitis a Forerunner to Bronchiectasis?,yes
pubmedqa_903,Does sex affect the outcome of laparoscopic cholecystectomy?,yes
pubmedqa_90,Is HIV/STD control in Jamaica making a difference?,yes
pubmedqa_939,Canada's Compassionate Care Benefit: is it an adequate public health response to addressing the issue of caregiver burden in end-of-life care?,no
pubmedqa_181,Are performance measurement systems useful?,yes
pubmedqa_274,Delays in time to primary treatment after a diagnosis of breast cancer: does it impact survival?,no
pubmedqa_895,Is there awareness of pharmaceutical expenditure in the reformed primary care system?,no
pubmedqa_69,"Body perception: do parents, their children, and their children's physicians perceive body image differently?",yes
pubmedqa_291,Vaginal dose assessment in image-guided brachytherapy for cervical cancer: Can we really rely on dose-point evaluation?,maybe
pubmedqa_131,Remote ischemic postconditioning: does it protect against ischemic damage in percutaneous coronary revascularization?,yes
pubmedqa_300,Should ascitis volume and anthropometric measurements be estimated in hospitalized alcoholic cirrotics?,yes
pubmedqa_424,Treatment as prevention in resource-limited settings: is it feasible to maintain HIV viral load suppression over time?,yes
pubmedqa_326,Does depression diagnosis and antidepressant prescribing vary by location?,yes
pubmedqa_144,May student examiners be reasonable substitute examiners for faculty in an undergraduate OSCE on medical emergencies?,yes
pubmedqa_423,Is the zeolite hemostatic agent beneficial in reducing blood loss during arterial injury?,yes
pubmedqa_580,Is There an Additional Value of Using Somatostatin Receptor Subtype 2a Immunohistochemistry Compared to Somatostatin Receptor Scintigraphy Uptake in Predicting Gastroenteropancreatic Neuroendocrine Tumor Response?,no
pubmedqa_135,Does the leukocyte count correlate with the severity of injury?,yes
pubmedqa_450,Does occupational nuclear power plant radiation affect conception and pregnancy?,yes
pubmedqa_164,Does rural or urban residence make a difference to neonatal outcome in premature birth?,yes
pubmedqa_28,Is halofantrine ototoxic?,yes
pubmedqa_773,Is nasogastric decompression useful in prevention of leaks after laparoscopic sleeve gastrectomy?,no
pubmedqa_193,Metered-dose inhalers. Do health care providers know what to teach?,no
pubmedqa_388,Can students' scores on preclerkship clinical performance examinations predict that they will fail a senior clinical performance examination?,yes
pubmedqa_852,Scrotal approach to both palpable and impalpable undescended testes: should it become our first choice?,yes
pubmedqa_169,Storage of vaccines in the community: weak link in the cold chain?,maybe
pubmedqa_705,Is late-night salivary cortisol a better screening test for possible cortisol excess than standard screening tests in obese patients with Type 2 diabetes?,no
pubmedqa_140,Preoperative tracheobronchoscopy in newborns with esophageal atresia: does it matter?,yes
pubmedqa_173,Can Flexible Instruments Create Adequate Femoral Tunnel Lengths at 90° of Knee Flexion in Anterior Cruciate Ligament Reconstruction?,yes
pubmedqa_6,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,maybe
pubmedqa_745,Do supervised colorectal trainees differ from consultants in terms of quality of TME surgery?,no
pubmedqa_478,Can implant retention be recommended for treatment of infected TKA?,maybe
pubmedqa_73,Assessing joint line positions by means of the contralateral knee: a new approach for planning knee revision surgery?,yes
pubmedqa_910,Is the ability to perform transurethral resection of the prostate influenced by the surgeon's previous experience?,yes
pubmedqa_813,"""Occult"" posttraumatic lesions of the knee: can magnetic resonance substitute for diagnostic arthroscopy?",yes
pubmedqa_238,Does rugby headgear prevent concussion?,maybe
pubmedqa_145,Are endothelial cell patterns of astrocytomas indicative of grade?,yes
pubmedqa_792,Can mass drug administration lead to the sustainable control of schistosomiasis?,no
pubmedqa_234,Does TDP-43 type confer a distinct pattern of atrophy in frontotemporal lobar degeneration?,yes
pubmedqa_220,Does concomitant anterior/apical repair during midurethral sling improve the overactive bladder component of mixed incontinence?,no
pubmedqa_923,Does bone anchor fixation improve the outcome of percutaneous bladder neck suspension in female stress urinary incontinence?,yes
pubmedqa_500,Does body mass index (BMI) influence morbidity and long-term survival in gastric cancer patients after gastrectomy?,maybe
pubmedqa_132,Does combining antiretroviral agents in a single dosage form enhance quality of life of HIV/AIDS patients?,no
pubmedqa_990,Are tuberculosis patients adherent to prescribed treatments in China?,maybe
pubmedqa_774,The objective structured clinical examination: can physician-examiners participate from a distance?,yes
pubmedqa_185,Chronic functional somatic symptoms: a single syndrome?,no
pubmedqa_41,Does radiotherapy of the primary rectal cancer affect prognosis after pelvic exenteration for recurrent rectal cancer?,yes
pubmedqa_696,Does the Transmissible Liability Index (TLI) assessed in late childhood predict suicidal symptoms at young adulthood?,yes
pubmedqa_108,"Neoadjuvant Imatinib in Locally Advanced Gastrointestinal stromal Tumours, Will Kit Mutation Analysis Be a Pathfinder?",yes
pubmedqa_588,Cervical spine fractures in geriatric blunt trauma patients with low-energy mechanism: are clinical predictors adequate?,no
pubmedqa_56,Does immediate breast reconstruction compromise the delivery of adjuvant chemotherapy?,no
pubmedqa_405,Does tranexamic acid reduce desmopressin-induced hyperfibrinolysis?,yes
pubmedqa_442,After CLASS--Is a voluntary public insurance program a realistic way to meet the long-term support and service needs of adults with disabilities?,no
pubmedqa_757,Is there a need for pelvic CT scan in cases of renal cell carcinoma?,no
pubmedqa_997,Is peak concentration needed in therapeutic drug monitoring of vancomycin?,no
pubmedqa_24,Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?,yes
pubmedqa_467,Do inhaled corticosteroids affect perception of dyspnea during bronchoconstriction in asthma?,yes
pubmedqa_539,Are environmental factors important in primary systemic vasculitis?,yes
pubmedqa_531,Nasal polyposis: is there an inheritance pattern?,yes
pubmedqa_618,Is extended aortic replacement in acute type A dissection justifiable?,yes
pubmedqa_694,Does concept mapping enhance learning outcome of nursing students?,yes
pubmedqa_926,HIF1A as a major vascular endothelial growth factor regulator: do its polymorphisms have an association with age-related macular degeneration?,maybe
pubmedqa_338,Juvenile osteochondritis dissecans: is it a growth disturbance of the secondary physis of the epiphysis?,yes
pubmedqa_51,Do Surrogates of Injury Severity Influence the Occurrence of Heterotopic Ossification in Fractures of the Acetabulum?,maybe
pubmedqa_507,Are sports medicine journals relevant and applicable to practitioners and athletes?,no
pubmedqa_516,Does a physician's specialty influence the recording of medication history in patients' case notes?,yes
pubmedqa_920,Is etoricoxib effective in preventing heterotopic ossification after primary total hip arthroplasty?,yes
pubmedqa_781,Is primary angioplasty an acceptable alternative to thrombolysis?,yes
pubmedqa_264,Cold knife conization vs. LEEP. Are they the same procedure?,no
pubmedqa_817,Does ethnicity affect where people with cancer die?,yes
pubmedqa_710,Does menopausal transition affect the quality of life?,no
pubmedqa_682,Prostate-specific antigen and free prostate-specific antigen in the early detection of prostate cancer: do combination tests improve detection?,yes
pubmedqa_832,Can computerised tomography replace bone scintigraphy in detecting bone metastases from breast cancer?,yes
pubmedqa_518,Is renal warm ischemia over 30 minutes during laparoscopic partial nephrectomy possible?,no
pubmedqa_447,Chemoradiotherapy in the management of locally advanced squamous cell carcinoma esophagus: is surgical resection required?,no
pubmedqa_18,Is there a model to teach and practice retroperitoneoscopic nephrectomy?,yes
pubmedqa_715,Attaining negative margins in breast-conservation operations: is there a consensus among breast surgeons?,no
pubmedqa_483,Gender difference in survival of resected non-small cell lung cancer: histology-related phenomenon?,yes
pubmedqa_568,Chemical shift MRI: is there any contribution to morphologic evaluation of solid breast masses?,yes
pubmedqa_433,Cigarettes and cinema: does parental restriction of R-rated movie viewing reduce adolescent smoking susceptibility?,yes
pubmedqa_367,Is cytokeratin immunoreactivity useful in the diagnosis of short-segment Barrett's oesophagus in Korea?,yes
pubmedqa_83,Does induction chemotherapy have a role in the management of nasopharyngeal carcinoma?,yes
pubmedqa_61,Major depression and alcohol use disorder in adolescence: Does comorbidity lead to poorer outcomes of depression?,no
pubmedqa_638,Can T-cell deficiency affect spatial learning ability following toluene exposure?,yes
pubmedqa_272,Characterization of the gender dimorphism after injury and hemorrhagic shock: are hormonal differences responsible?,no
pubmedqa_285,Gluten tolerance in adult patients with celiac disease 20 years after diagnosis?,maybe
pubmedqa_360,Does surgery or radiation therapy impact survival for patients with extrapulmonary small cell cancers?,yes
pubmedqa_354,Do symptoms matter when considering patients for phase I clinical trials?,yes
pubmedqa_456,Comparing femoral version after intramedullary nailing performed by trauma-trained and non-trauma trained surgeons: is there a difference?,no
pubmedqa_278,In vivo visualization of pyloric mucosal hypertrophy in infants with hypertrophic pyloric stenosis: is there an etiologic role?,yes
pubmedqa_12,Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,yes
pubmedqa_182,Does para-cervical block offer additional advantages in abortion induction with gemeprost in the 2nd trimester?,yes
pubmedqa_368,Is routine dissection of the station 9 lymph nodes really necessary for primary lung cancer?,no
pubmedqa_881,Can Roux-en-Y gastric bypass provide a lifelong solution for diabetes mellitus?,yes
pubmedqa_615,Does ibuprofen increase perioperative blood loss during hip arthroplasty?,yes
pubmedqa_223,Diagnostic and therapeutic ureteroscopy: is dilatation of ureteral meatus always necessary?,no
pubmedqa_572,Do antibiotics decrease post-tonsillectomy morbidity?,no
pubmedqa_970,Can teaching medical students to investigate medication errors change their attitudes towards patient safety?,yes
pubmedqa_653,Is calibration the cause of variation in liquid chromatography tandem mass spectrometry testosterone measurement?,no
pubmedqa_545,Post-tonsillectomy late haemorrhage: is it a preferably night-time event?,yes
pubmedqa_582,Does Molecular Genotype Provide Useful Information in the Management of Radioiodine Refractory Thyroid Cancers?,yes
pubmedqa_633,Biliary atresia: should all patients undergo a portoenterostomy?,no
pubmedqa_176,Should early extubation be the goal for children after congenital cardiac surgery?,yes
pubmedqa_665,Is the covering of the resection margin after distal pancreatectomy advantageous?,no
pubmedqa_673,Inhibin: a new circulating marker of hydatidiform mole?,yes
pubmedqa_585,Follow-up of patients with new cardiovascular implantable electronic devices: are experts' recommendations implemented in routine clinical practice?,yes
pubmedqa_873,Does increased patient awareness improve accrual into cancer-related clinical trials?,no
pubmedqa_393,Validation of the 2009 TNM version in a large multi-institutional cohort of patients treated for renal cell carcinoma: are further improvements needed?,yes
pubmedqa_163,Is there a relationship between complex fractionated atrial electrograms recorded during atrial fibrillation and sinus rhythm fractionation?,no
pubmedqa_248,"Are there associations of health status, disease activity and damage in SLE patients?",yes
pubmedqa_634,Does a history of unintended pregnancy lessen the likelihood of desire for sterilization reversal?,no
pubmedqa_885,Preoperative platelet count in esophageal squamous cell carcinoma: is it a prognostic factor?,yes
pubmedqa_669,Motor performance in chronic low back pain: is there an influence of pain-related cognitions?,yes
pubmedqa_375,Vitamin D supplementation and regulatory T cells in apparently healthy subjects: vitamin D treatment for autoimmune diseases?,yes
pubmedqa_412,Does invasive diagnosis of nosocomial pneumonia during off-hours delay treatment?,no
pubmedqa_74,Does the type of tibial component affect mechanical alignment in unicompartmental knee replacement?,yes
pubmedqa_113,Perioperative care in an animal model for training in abdominal surgery: is it necessary a preoperative fasting?,no
pubmedqa_598,Is fear of anaphylactic shock discouraging surgeons from more widely adopting percutaneous and laparoscopic techniques in the treatment of liver hydatid cyst?,yes
pubmedqa_961,"Does obesity predict knee pain over fourteen years in women, independently of radiographic changes?",yes
pubmedqa_390,Can surgeon familiarization with current evidence lead to a change in practice?,no
pubmedqa_104,Cycloplegic autorefraction in young adults: is it mandatory?,maybe
pubmedqa_114,Are physicians aware of the side effects of angiotensin-converting enzyme inhibitors?,no
pubmedqa_417,The effective orifice area/patient aortic annulus area ratio: a better way to compare different bioprostheses?,yes
pubmedqa_525,Hepatic arterial embolization for unresectable hepatocellular carcinomas: do technical factors affect prognosis?,yes
pubmedqa_457,Does Viral Co-Infection Influence the Severity of Acute Respiratory Infection in Children?,no
pubmedqa_409,Failed IUD insertions in community practice: an under-recognized problem?,yes
pubmedqa_92,Are even impaired fasting blood glucose levels preoperatively associated with increased mortality after CABG surgery?,yes
pubmedqa_930,Does preoperative anemia adversely affect colon and rectal surgery outcomes?,yes
pubmedqa_89,Detailed analysis of sputum and systemic inflammation in asthma phenotypes: are paucigranulocytic asthmatics really non-inflammatory?,maybe
pubmedqa_336,School food policy at Dutch primary schools: room for improvement?,yes
pubmedqa_988,Does patient position during liver surgery influence the risk of venous air embolism?,no
pubmedqa_921,Should serum pancreatic lipase replace serum amylase as a biomarker of acute pancreatitis?,yes
pubmedqa_933,Delayed imaging in routine CT examinations of the abdomen and pelvis: is it worth the additional cost of radiation and time?,no
pubmedqa_605,Medical student education in emergency medicine: do students meet the national standards for clinical encounters of selected core conditions?,no
pubmedqa_593,Is there a role for leukocyte and CRP measurements in the diagnosis of acute appendicitis in the elderly?,maybe
pubmedqa_611,Should temperature be monitorized during kidney allograft preservation?,no
pubmedqa_94,Can you deliver accurate tidal volume by manual resuscitator?,no
pubmedqa_11,Therapeutic anticoagulation in the trauma patient: is it safe?,no
pubmedqa_396,Do older men benefit from curative therapy of localized prostate cancer?,yes
pubmedqa_533,Pharmacologic regimens for knee osteoarthritis prevention: can they be cost-effective?,yes
pubmedqa_43,Colorectal cancer with synchronous liver metastases: does global management at the same centre improve results?,no
pubmedqa_42,Can a practicing surgeon detect early lymphedema reliably?,maybe
pubmedqa_329,Is laparoscopic adrenalectomy safe and effective for adrenal masses larger than 7 cm?,yes
pubmedqa_167,"Is there any evidence of a ""July effect"" in patients undergoing major cancer surgery?",no
pubmedqa_497,The association of puberty and young adolescent alcohol use: do parents have a moderating role?,no
pubmedqa_876,Do older patients receive adequate stroke care?,maybe
pubmedqa_597,Does patient-prosthesis mismatch after aortic valve replacement affect survival and quality of life in elderly patients?,no
pubmedqa_756,Rotator cuff tear--an occupational disease?,yes
pubmedqa_100,Mammographic screening in Sami speaking municipalities and a control group. Are early outcome measures influenced by ethnicity?,yes
pubmedqa_426,Has the mammography quality standards act affected the mammography quality in North Carolina?,yes
pubmedqa_178,Menopausal hormone therapy and irregular endometrial bleeding: a potential role for uterine natural killer cells?,yes
pubmedqa_444,Can we predict which head and neck cancer survivors develop fears of recurrence?,yes
pubmedqa_416,Midwives' competence: is it affected by working in a rural location?,maybe
pubmedqa_870,Are neighbourhood social capital and availability of sports facilities related to sports participation among Dutch adolescents?,maybe
pubmedqa_882,Does the severity of obstructive sleep apnea predict patients requiring high continuous positive airway pressure?,maybe
pubmedqa_680,Does anterior laxity of the uninjured knee influence clinical outcomes of ACL reconstruction?,yes
pubmedqa_177,Does delivery mode affect women's postpartum quality of life in rural China?,no
pubmedqa_395,Does Sensation Return to the Nasal Tip After Microfat Grafting?,yes
pubmedqa_911,Is there a differential in the dental health of new recruits to the British Armed Forces?,yes
pubmedqa_793,Can D-dimer become a new diagnostic parameter for acute appendicitis?,no
pubmedqa_960,Is minimally invasive mitral valve repair with artificial chords reproducible and applicable in routine surgery?,yes
pubmedqa_684,Do elderly cancer patients have different care needs compared with younger ones?,no
pubmedqa_383,"Does delaying surgery in immature adolescent idiopathic scoliosis patients with progressive curve, lead to addition of fusion levels?",yes
pubmedqa_956,SPECT study with I-123-Ioflupane (DaTSCAN) in patients with essential tremor. Is there any correlation with Parkinson's disease?,no
pubmedqa_751,Is the cell death in mesial temporal sclerosis apoptotic?,maybe
pubmedqa_257,Does nuchal translucency thickness in the first trimester predict GDM onset during pregnancy?,no
pubmedqa_538,Does birth center care during a woman's first pregnancy have any impact on her future reproduction?,no
pubmedqa_335,Does stress increase imitation of drinking behavior?,no
pubmedqa_15,Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,yes
pubmedqa_324,Are wandering and physically nonaggressive agitation equivalent?,no
pubmedqa_758,Prognostic factors for cervical spondylotic amyotrophy: are signs of spinal cord involvement associated with the neurological prognosis?,yes
pubmedqa_222,Can patients be anticoagulated after intracerebral hemorrhage?,maybe
pubmedqa_179,Percutaneous ethanol injection for benign cystic thyroid nodules: is aspiration of ethanol-mixed fluid advantageous?,no
pubmedqa_983,Is the breast best for children with a family history of atopy?,yes
pubmedqa_22,Secondhand smoke risk in infants discharged from an NICU: potential for significant health disparities?,yes
pubmedqa_356,Do episodic migraineurs selectively attend to headache-related visual stimuli?,no
pubmedqa_666,Does treatment duration affect outcome after radiotherapy for prostate cancer?,yes
pubmedqa_861,Is muscle power related to running speed with changes of direction?,yes
pubmedqa_340,Is there a uniform basal endometrial gene expression profile during the implantation window in women who became pregnant in a subsequent ICSI cycle?,maybe
pubmedqa_431,Does a dedicated discharge coordinator improve the quality of hospital discharge?,yes
pubmedqa_551,Location and number of sutures placed for hiatal hernia repair during laparoscopic adjustable gastric banding: does it matter?,no
pubmedqa_833,Does obesity impact the pattern and outcome of trauma in children?,no
pubmedqa_203,Is vitamin D deficiency a feature of pediatric celiac disease?,no
pubmedqa_630,Cerebromediastinal tuberculosis in a child with a probable Say-Barber-Miller syndrome: a causative link?,yes
pubmedqa_93,Does positron emission tomography change management in primary rectal cancer?,yes
pubmedqa_558,Risk stratification in emergency surgical patients: is the APACHE II score a reliable marker of physiological impairment?,yes
pubmedqa_68,Does the Simultaneous Use of a Neuroendoscope Influence the Incidence of Ventriculoperitoneal Shunt Infection?,no
pubmedqa_622,Analysis of the epidemiological pattern of Shigellosis in Barcelona between 1988 and 2012: Is it an emerging sexually transmitted infection?,yes
pubmedqa_284,Does spontaneous remission occur in polyarteritis nodosa?,yes
pubmedqa_844,Is vancomycin MIC creep a worldwide phenomenon?,no
pubmedqa_434,Are laboratories reporting serum quantitative hCG results correctly?,no
pubmedqa_153,Are adult body circumferences associated with height?,yes
pubmedqa_75,Is tumour expression of VEGF associated with venous invasion and survival in pT3 renal cell carcinoma?,maybe
pubmedqa_730,Does the distribution of health care benefits in Kenya meet the principles of universal coverage?,no
pubmedqa_446,Does hippocampal atrophy on MRI predict cognitive decline?,no
pubmedqa_188,Does successful completion of the Perinatal Education Programme result in improved obstetric practice?,no
pubmedqa_271,Literacy after cerebral hemispherectomy: Can the isolated right hemisphere read?,yes
pubmedqa_236,"Diagnostic characteristics of child bipolar I disorder: does the ""Treatment of Early Age Mania (team)"" sample generalize?",yes
pubmedqa_487,Is CA72-4 a useful biomarker in differential diagnosis between ovarian endometrioma and epithelial ovarian cancer?,yes
pubmedqa_117,Does laparoscopic surgery decrease the risk of atrial fibrillation after foregut surgery?,yes
pubmedqa_943,Alcohol consumption and acute myocardial infarction: a benefit of alcohol consumed with meals?,yes
pubmedqa_512,Is the histidine triad nucleotide-binding protein 1 (HINT1) gene a candidate for schizophrenia?,no
pubmedqa_825,Diabetes mellitus among Swedish art glass workers--an effect of arsenic exposure?,no
pubmedqa_591,Is there any relation between cervical cord plaques and discopathy in patients with multiple sclerosis?,yes
pubmedqa_126,Does shaving the incision site increase the infection rate after spinal surgery?,maybe
pubmedqa_116,Are physician estimates of asthma severity less accurate in black than in white patients?,yes
pubmedqa_473,Can biofeedback training of psychophysiological responses enhance athletes' sport performance?,yes
pubmedqa_693,Are there progressive brain changes in schizophrenia?,yes
pubmedqa_57,Human papillomavirus and pterygium. Is the virus a risk factor?,maybe
pubmedqa_863,Is a 9-month treatment sufficient in tuberculous enterocolitis?,yes
pubmedqa_912,Is laparoscopic reoperation for failed antireflux surgery feasible?,yes
pubmedqa_369,Cutaneous melanoma in a multiethnic population: is this a different disease?,maybe
pubmedqa_268,Should prostate specific antigen be adjusted for body mass index?,no
pubmedqa_46,It's Fournier's gangrene still dangerous?,yes
pubmedqa_349,Does automatic transmission improve driving behavior in older drivers?,yes
pubmedqa_195,Health habits and vaccination status of Lebanese residents: are future doctors applying the rules of prevention?,no
pubmedqa_999,Are sugars-free medicines more erosive than sugars-containing medicines?,no
pubmedqa_834,Is non-invasive diagnosis of esophageal varices in patients with compensated hepatic cirrhosis possible by duplex Doppler ultrasonography?,yes
pubmedqa_736,Is first-line single-agent mitoxantrone in the treatment of high-risk metastatic breast cancer patients as effective as combination chemotherapy?,yes
pubmedqa_263,Is arch form influenced by sagittal molar relationship or Bolton tooth-size discrepancy?,no
pubmedqa_443,Is intraoperative neuromonitoring associated with better functional outcome in patients undergoing open TME?,yes
pubmedqa_675,Does peritoneal dialysis affect halitosis in patients with end-stage renal disease?,yes
pubmedqa_304,Are behavioural risk factors to be blamed for the conversion from optimal blood pressure to hypertensive status in Black South Africans?,yes
pubmedqa_341,Can decisional algorithms replace global introspection in the individual causality assessment of spontaneously reported ADRs?,no
pubmedqa_966,Does route of delivery affect maternal and perinatal outcome in women with eclampsia?,no
pubmedqa_149,Can normal knee kinematics be restored with unicompartmental knee replacement?,no
pubmedqa_124,Transient tachypnea of the newborn (TTN): a role for polymorphisms in the beta-adrenergic receptor (ADRB) encoding genes?,yes
pubmedqa_786,CYP2D6*4 allele and breast cancer risk: is there any association?,yes
pubmedqa_50,Should direct mesocolon invasion be included in T4 for the staging of gastric cancer?,maybe
pubmedqa_353,Improvements in survival of gynaecological cancer in the Anglia region of England: are these an effect of centralisation of care and use of multidisciplinary management?,yes
pubmedqa_927,Is combined therapy more effective than growth hormone or hyperbaric oxygen alone in the healing of left ischemic and non-ischemic colonic anastomoses?,yes
pubmedqa_142,Is perforation of the appendix a risk factor for tubal infertility and ectopic pregnancy?,maybe
pubmedqa_470,Does angiotensin-converting enzyme-1 (ACE-1) gene polymorphism lead to chronic kidney disease among hypertensive patients?,yes
pubmedqa_399,Emergency double-balloon enteroscopy combined with real-time viewing of capsule endoscopy: a feasible combined approach in acute overt-obscure gastrointestinal bleeding?,yes
pubmedqa_625,PREVALENCE OF THE STREPTOCOCUS AGALACTIAE IN THE PREGNANT WOMAN FROM THE AUTONOMIC CITY OF MELILLA: IS CULTURE A DETERMINANT FACTOR?,yes
pubmedqa_320,Can bedside assessment reliably exclude aspiration following acute stroke?,no
pubmedqa_19,Cardiovascular risk in a rural adult West African population: is resting heart rate also relevant?,yes
pubmedqa_809,Does quilting suture prevent seroma in abdominoplasty?,yes
pubmedqa_790,Utility of unenhanced fat-suppressed T1-weighted MRI in children with sickle cell disease -- can it differentiate bone infarcts from acute osteomyelitis?,no
pubmedqa_808,Multidisciplinary decisions in breast cancer: does the patient receive what the team has recommended?,yes
pubmedqa_407,Counter sampling combined with medical provider education: do they alter prescribing behavior?,maybe
pubmedqa_537,Household and food shopping environments: do they play a role in socioeconomic inequalities in fruit and vegetable consumption?,no
pubmedqa_620,Effects of exercise training on heart rate and QT interval in healthy young individuals: are there gender differences?,yes
pubmedqa_38,Biomolecular identification of allergenic pollen: a new perspective for aerobiological monitoring?,yes
pubmedqa_175,Are Biochemical Markers of Bone Turnover Representative of Bone Histomorphometry in 370 Postmenopausal Women?,maybe
pubmedqa_245,Do risk factors for suicidal behavior differ by affective disorder polarity?,no
pubmedqa_828,Does use of hydrophilic guidewires significantly improve technical success rates of peripheral PTA?,maybe
pubmedqa_667,Is the urinary biomarkers assessment a non-invasive approach to tubular lesions of the solitary kidney?,yes
pubmedqa_754,Does case-mix based reimbursement stimulate the development of process-oriented care delivery?,yes
pubmedqa_858,Does strategy training reduce age-related deficits in working memory?,no
pubmedqa_154,Would corrected QT dispersion predict left ventricular hypertrophy in hypertensive patients?,yes
pubmedqa_287,Search engine as a diagnostic tool in difficult immunological and allergologic cases: is Google useful?,yes
pubmedqa_602,Measuring hospital mortality rates: are 30-day data enough?,yes
pubmedqa_569,Do some U.S. states have higher/lower injury mortality rates than others?,yes
pubmedqa_743,Does cognitive function predict frequency compressed speech recognition in listeners with normal hearing and normal cognition?,no
pubmedqa_17,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,yes
pubmedqa_127,The influence of atmospheric pressure on aortic aneurysm rupture--is the diameter of the aneurysm important?,maybe
pubmedqa_322,Artefacts in 24-h pharyngeal and oesophageal pH monitoring: is simplification of pH data analysis feasible?,maybe
pubmedqa_255,Are we seeing the effects of public awareness campaigns?,maybe
pubmedqa_657,Is expert breast pathology assessment necessary for the management of ductal carcinoma in situ ?,yes
pubmedqa_964,Does a well developed collateral circulation predispose to restenosis after percutaneous coronary intervention?,no
pubmedqa_190,Does music influence stress in mechanically ventilated patients?,no
pubmedqa_115,Residual fundus or neofundus after laparoscopic sleeve gastrectomy: is fundectomy safe and effective as revision surgery?,maybe
pubmedqa_616,"Laparoscopic-assisted ileocolic resections in patients with Crohn's disease: are abscesses, phlegmons, or recurrent disease contraindications?",no
pubmedqa_606,A model of healing of Los Angeles grades C and D reflux oesophagitis: is there an optimal time of acid suppression for maximal healing?,yes
pubmedqa_180,Can the growth rate of a gallbladder polyp predict a neoplastic polyp?,no
