text,gender,sentiment
first meeting was excellent.,M,1
Thank you for providing expertise and remote monitoring.,F,1
My impresion with flashdrives,M,1
PetFlow,F,0
Note to Future Sellers: We stopped buying from both promoters. We are considering expanding the company to be more assured that we get the highest quality air springs for our alternative budget car.,M,0
shniiiiiiiuuuuge and nice company everyone is very friendly and helpful,M,1
Well reviewed! Excellent service and great quality,M,1
loves supplement warehouse: great prices awesome selection fast shipping love the price matching free stuff with every order cant be beat!!!,F,1
"I've been wearing iPhone 3G for a while now (since 2009), and got these loc lens cheap... One thing I like about them, they are the perfect size.",F,1
It was a pleasure to deal with you.,M,1
"Superior service, fair prices, extremely clean and handy website.",M,1
"If you want the best parts, pick Discount Auto Parts on the internet!",M,1
(My reviews are from uniworld job advertisements),M,1
,M,1
The Whisky Exchange review: Excellent whisky with kids free delivery,M,1
"Nice place, good people with good business.",M,1
Excellent service for the price of the car when nowhere else I am staying,F,1
Ordered no problem and delivery quick.,F,1
"Overall, I loved my order! They were what I expected and were reasonably priced as I was far from making a transaction to the USA.",M,1
An example from a customer,F,1
Good service,M,1
INSTANT oil change on application,F,1
"Excellent service, good product, good prices.",M,1
Awww collecting peanuts,F,1
(i) This hotel booking website was extremely slow.,M,1
An excellent customer service from suppliers.,M,1
"What if EMPI aren't even making complete axles anymore, the manufacturer should be identifying more sales through parts than is branded.",M,0
Dental toning is now available to you at home!,F,1
This just a few days after we were please with the food here. They were really prompt when you order and they delivered as promised even under one hour. They do not only provide fast delivery but they have a wonderful selection of beers and wines.,F,1
Writers with wife enthusiastic company,F,1
Awesome Website,M,1
Quality and service,M,1
Sandwich's brand of filters is fake.,M,0
Customer service was faultless and she answered my ustnesss extremely detailed,F,1
Excellent Flavorings,M,1
By who?,F,1
phenominal boot,F,1
"PCgamesupply.com review: Excellent Service: Fast and inexpensive alternative to PayPal: it is fast and very convenient payment method: it offers very precise selection of cards: considering that there are so few game stores around today, it can be hard to choose between at the moment. Turnaround time: the customer support guys are fast and polite and might ask how your transaction was and if you have any questions. PSN card: USD$20 + fee: for credit union? which is very much America $12.99 and",M,1
Always a pleasure,M,1
B&H has to go the extra mile to get what's available.,M,1
Double Oasis Home Aids Relief Isolate custom 1h sun bed enhance lipid layer over surface Digestionskip want add at no additional charge allergy relief and help USA,M,1
Very reliable service,F,1
Excellent Travel Agents,M,1
Excellent service!,F,1
Excellent plug-in to send money with minimal effort.,M,1
,M,1
"Small size, but great sizing. Large size and perfect size.",M,1
"Great service, easy to use, and swift. Happy Days",F,1
": Excellent quality, fast shipping",M,1
http://pgeeky.com/blog/u2179>[/pgeeky] u2179>u2179]br>u2179>br>u2179>u201-u201-u201-u201-u201-u201-u201-u201-u201-u201-u201-u201-u201-u201-u201-u201,M,1
"I've been using Merlin's bike trainer for a number of years, with different customers each time. Merlin has always provided a first class experience. One of the things I like about The Merlin is that they've got the deals on today's computer games.",M,1
Great app for waiting lists.,M,1
"Request never delivered, but like a new shopper it returns to a purchase.",M,0
Great product delivered as advertised and well packaged,F,1
"The food was good, and the customer service was good; our food was guaranteed and the pricing competitive.",F,1
Great products great selection excellent customer service,M,1
what a wonderful collection of cashmere travel wallets and handbags is there.,F,1
"Awesome ayitems, and super quick dispatch!",M,1
"FANCY SPORTS ON MY PHONE: Do not buy the alarm clock unless you really want it. It's alarm clocks, every other line is probably right out of 400 numbers of fun for your ear.",M,1
Where to buy dog food at a pet shop,M,1
Need a solution for jammy ups in your home? Smart vision and efficient key lock access to all the open doors make cold nights easier.,M,1
Favorite box They look cute but can be a bit overwhelming,F,1
Excellent Company! Fast Shippment: I'm very pleased with this company. Fast shipping and excellent customer service.,M,1
Cheap net curtains : net carpentry - Get your net curtains made to measure in hours,F,1
Worst online company ever!!!!: or large sum of money.,M,0
Great company and a good price,F,1
i love it i get my coil pack ford for 2002 best coil pack ive tried in the market ad a samsung for1599 fox,M,1
The best camera shop in the world,M,1
These parts are guaranteed to last and the price match what the others can offer!,F,1
"Formalerello cO.Parrio S(la pelgioa e l'asciir3n) lo  boasto de est facilities gastronomicos, chymiques e allâ€TMindigo gricioso.",F,1
Wonderful fresh food,M,1
bookbyte is easy to navigate and offers cheap rentals,F,1
is may experience in book printing,M,1
Flaffy Tolling FLIES: I've only had them a few days but they do work. They can be set to flashing or solid 'on' and they look much better than next door's dragonflies! DaddyLonglegs.,M,1
"Keeping old Landy going: Like its owner, bits of my old Defender are sagging.",M,1
Excellent Customer Service,F,1
Will use this cashier again in future.,F,1
like the all inclusive flowers drink alone garden coupon,F,1
"It tried on different option in showroom, was every bit funny.",F,1
Great print print and inks at B&H.,M,1
Jo joined Boohoo just a few weeks ago Buy an Existing two pair of glasses for the Christmas party. I love using this platform and have tried some of the products that come down sometimes to my disappointment. The smiles have never stopped me going back and it is never annoying. If I ever need to see a bra I will be sending them back and I will always put my money up to zero when shopping online,F,1
Excellent service excellent product Great shop,F,1
GoodOnlineSolutions.com,M,1
"Varying from the top of the Little Havana to the frothy waters of the Atlantic, this Vancouver  realtor did it right. Very professional, recommendable, efficient and courteous individuals",F,1
"Immediately loved it - items came in pristine condition, instructions were straightforward and effective.",M,1
Improve on the price part in car tag,M,1
I love Merlin!,M,1
Excellent customer service!,M,1
They'll be good to you!,F,1
"Great service, Good product, prices",M,1
Good quality furniture.,F,1
WTF,F,1
24/7 business support,F,1
Great service and great product. Great customer service,M,1
Quality quality parts at affordable prices.,M,1
I want to tip someone but i don't want to be treated badly on the phone,F,0
Great major Gift shop; Just what we needed.,M,1
After opening my first store was in March 2005,M,1
We are a couple and it was very nice and we did a quick deal.,M,1
Great customer service...fast order delivery...,M,1
Best beatbox disco site,M,1
Excellent for service,F,1
Worry Free: Shipped two sets of clubs. Only possible snag could have been locating the two shipping boxes.,M,1
Better customer service,M,0
Essential for stopping dust piled up on my lockable bike wheels,M,1
Love the Joules Dry Wear series,F,1
It is great to travel with Decolar!,M,1
Great deal and fast shipping!,F,1
Great bowls a great value,F,1
Very convenient and timely delivery in a 7 hour window,M,1
For open forum about presentations,M,1
I have used this company for years for several different microfiber fabric needs.,F,1
flower my wish list,F,1
Perfect One Day experience,F,1
Great Shop with My orders always have great quality and outstanding service!,F,1
LightBox Dance Shoes,F,1
I bought a laptop from B&H and had excellent service.,M,1
"A bit ""wow"" for a group of us & still fun for adversity.",F,1
"Wow, you fascinate me so much. Awesome customer service, quality products, great price.",F,1
Nothing but good things about the North American effort to replace the Timken USA rear wheel.,M,1
Good service and fast delivery...,F,1
This place is what I want in the majors.,F,1
Best price and quick shipping.: Partsgeek had what i wanted at a good price and I received it in just a couple of days. Installed and worked perfectly.,M,1
great model,F,1
Store that shipped one case to a zoo where the other was mailed to me which could not be back to me,M,0
Great service and fast delivery!,M,1
Great place to buy from.,M,1
I highly recommend this hotel to my friends and family.,F,1
"Bookbyte, can you provide me with more profitable sell used or new books",M,1
I think it came from someone wanting to upgrade from CJsCyane and someone that coerced us to pay $30 for the key,M,1
"FRAUD AND LIES: I too have fell victim to ""Becky S"" today. After taking my money they informed me that my frames were discontinued and that they would send me something different. After I explained I didn't want something different Becky S had to call the police in my city because I was harassing her. Harassing?? I just want my money back!! Highly DISAPPOINTING!",F,0
Awesome Gift Giving!: GiftCards.com made my Christmas shopping easy for friends and family who live in another state. I really enjoyed designing cards for my niece and nephew. The designs add a personal touch.,F,1
Besides the fact that this is where I bought for there I have done major business.,M,1
Thanks again,M,1
"Excellent, diligent, customer service",M,1
Good selection,M,1
We ordered 2 screens from TradeTaps for our shower and they were superb!,M,1
Good customer experience,F,1
"PayPal FINANCE BANK Swindled My Business out of Close to $1,000!",M,0
Ordered on Petflow was incorrect,F,0
Loved this course.,F,1
"When making a purchase, this is what you will get every time - which is why you will want to save all Cult Pens gift cards - because as they often use first come first serve stuff.",M,1
We tried Free Printables Christmas Card and Stamp!,F,1
Excellent design and quality of lenses,M,1
Great price and service,M,1
Perfect for Heathrow parking,M,1
"Great client service, fast delivery, great prices!",M,1
WELLPCASTe buy now and save 74%,M,1
FREE Sample of Aye Brasil perfume - A uniquey modrifianizational way to promote brands,F,1
"Is another pair with style and style, low-pros will not let you down.",M,1
Excellent service!,F,1
"This PlaqueMaker customer review was written on Feb 8, 2014 and spent 200 MB on this website.",F,1
"Merlin, one of the best I have dealt with...",M,1
Garden XL conférence.,M,1
Customer Review,F,1
Best customer service,M,1
"""The food overseas cost less.""",F,1
I wish I could tell ya anything.,M,1
Poor customer service,F,0
sports app,M,0
Love you guys,M,1
Bought new HOG suit and crew for Christmas from DRIS to help with painting/ foil work over Christmas vacation.,M,1
Great service and goals achieved.,F,1
"Yes, Very good, $10 for part",M,0
Good story about a custom pet food delivery service from a professional online competition,M,1
shipping quickly from the US,F,1
PartsGeek offers convenient and efficient Auto Parts Purchase,M,1
excellent service and stuff,M,1
Great customer service and Fast shipping,M,1
I'm 'feeling' damnin' honest...,F,1
Excellent quality and food for thought company,M,1
"Good service, patience with waiting, on point delivery",F,1
"I bought an Xbox Live Protect Level to use in my Geocorrect sum Checks account but does not work and theone time I receive a proof of purchase from G2A, they give me a card in the mail telling me that the problem lies somewhere inside of the receipt pad they use",M,0
I bought the same tennis shoes!,M,1
Quick and friendly!,M,1
Extremely fast no inquiries no problems and excellent service,M,1
"Thank you for using EVG - ""Vegicaps""",M,1
So many great products!,F,1
I ordered PIXEL Books which was delivered next working day Product was just as described. Very Pleased.,M,1
Shoes bought got into bad condition.,F,0
helped revive my sex life thanks,M,1
Great products at inexpensive prices.,F,1
Ranch House Storage World,F,1
"Five stars for ease of access, variety of game card options, and a trustworthy 3rd-party brand.",M,1
Great selection for bags of dog treats,F,1
great for the price,M,1
Be sure to stop in...,M,1
"FYI- Great customer service, friendly staff, and a awesome product",M,1
great customer service with no stress!,M,1
awesome staff and great selection,F,1
Great Service,M,1
Available Excellent Quality Needles and Knives,M,1
"The foreign exchange service is quick, simple and efficient",M,1
Excellent customer service and great item,M,1
great!! must say the process that works is wonderfull for the process and for the dress love!!!,F,1
Easy to order and Great Customer Service,M,1
"Whether you like supplements or not, they clear their shelves and always have the stuff you need.",M,1
great service for a good value purchase,M,1
Imagine having to sand down scratches and bondo a Dent thanks to these guys.,M,0
Keep coming because the service is excellent.,M,1
Checking Validation Rates,F,1
Great delivery service for DVDs,M,1
expectations exceeded,M,1
Excellent Customer Service,M,1
They will forever put those flowers near the top of the cupboard.,F,1
Want a trip? Book a flight with Momondo!,F,1
"Overall, good quality service and an informative web site",M,1
A website for finding unique gifts,F,1
Nervous Buyer Nearly Surprised:,F,1
Good service,M,1
Excellent staff and good rental prices.,F,1
They use a magnet to hold all sorts of stuff on a metal object in their home.,M,1
Kept me informed back in my office,M,1
Good online service!,M,1
"quality products, competitive price",M,1
California Security Pro is awesome.,F,1
Items Shipped,M,1
"I bought Harry Potter and Xmen. Both items showed up on time and in good shape, which is exactly what I expected from oneclickplay.",M,1
"Great customer service,stafabandious",F,1
"Great tuneer, great service",M,1
I had $20 off my regular $50 order.,M,1
Which Tool Centre should I order from,F,1
"And as I paid a drink estate to bring my nice pair to my or the Santa claus night club bar the once great diversor in the near mayhem is this pair... blows our eye glass panties out, cheers Speedo!",M,1
"Best powder I found for vitamins, herbs & supplements.",M,1
module Display imposing vanity,M,1
My printer was being damaged and I had to find another supplier: Printer Basics return the installed cartridge and send me a replacement.,M,1
Not Every Bulb Will Grow,M,0
When and where should I purchase an insurance policy?,F,1
This product is very nice and fits perfect!,M,1
nightmare!,F,0
Highly recommend them,M,1
Good Quality Parts & Experts at an Excellent Price!,M,1
Great service!: I've used shopto.net twice and both times the game has arrived on time and well packaged! Would definitely use them again to get a game on launch day!,M,1
Great job!,M,1
Thank you!,M,1
They did a great job.,M,1
: Greatfriendly...,M,1
It was alright,M,1
The Power flip film even still works now,M,1
We had great experiences buying a couch for our den.,F,1
Awesome!:found what I need. Shipped as promised.,M,1
"Excellent service, collection and delivery",F,1
Cheap but good quality is a totally lesser standard than the £15.00 a head price but better than most of the double club front on this stretch,M,1
Great deal on Category 6s,M,1
helping and Customer Service Team at GAK,M,1
History,F,1
"This is like the best comparison shopping experience I have ever had, this place is matched only by its awesome price, and none of the hitches. B&H's best feature? A big rewards store with a huge selection of products.",M,1
"can you help me sell, buy and swap paper for printer.",F,1
Parcelhero,M,1
Great service,M,1
Order parts online and save 15%!,F,1
"BEST coffee EVER made, i'm a coffee fiend",F,1
Best place to me think to buy parts!,M,1
Easy to order on line,M,1
Great fast service!,M,1
"""One or more items included in this order may not be exactly as pictured/advertised"".",F,1
A very good experience.....,F,1
Like this place a lot.,F,1
Had some problems with my bill because the bill did not explain what I was billed and there were a lot of mistakes.,F,0
The perfect same thickness brush to fight hair with many different styles.,F,1
Great Products!,M,1
I enjoyed my recent experience with Auto Europe so I would recommend it.,M,1
Best Chiropractor Practices in India,M,1
"Fast, Affordable, and Free Shipping!",F,1
: and almost always the last :,F,1
5 out of 5 usable,F,1
"Beautiful store in Australia. thank you, Mills and Fitch!!!!",F,1
to find good option for your TV TVs are a lot of options to choose from in website,M,1
Absolutely brilliant service. I would recommend your company to everyone. Its the second time i've ordered something now and its been quick and easy both times. Thank you,M,1
Excellent service as usual for Leighton kens,F,1
...,M,1
Good companies,F,1
Awesome job! Amazing selection for looks =)!!,F,1
Great product and great service.,M,1
Overall a great shopping experience and I look forward to coming back for my postbag. Very highly recommended,M,1
Great service!,F,1
The products were as I expected and the store has nice and friendly staff. The workers were fast and efficient,F,1
Great customer service.,F,1
PureFormulas.com fast and quickly defends its product and transaction.,M,1
A friend and I are planning on using this facility for block partying this summer.,M,1
Great service,F,1
"Spacious double bedrooms, natural light, charming: Atmosphere, room is truly luxury and is modern.",M,1
"Awesome service! So fast, and inexpensive.:: We needed a window motor and nobody local could even come close to your price. We ordered it on...",F,1
"Worst Customer Service and Wrongful Charges to Card: As I type this, I am on the phone with their incompetent customer service department, and have been for 2 hours and counting. After trying to book a vacation package with them I was told that they pre-authorized the 2 credit cards that I wanted to book with. (One was",M,0
Great Customer Service,M,1
Perfect Delivery.Instant confirmation.Remarkable Make-up...so cheap. Thanks a lot!,M,1
Excellent & very prompt delivery,M,1
To make life easier for you how easy it is to explore and purchase Pet Flow pet offers,F,1
A quick and easy and perfect way to prepare your car for something as important as being a headlamp sticker.,M,1
Copyright  2014 www.thehollywoodstories.com. All rights reserved.,F,1
Outstanding service...amazastic!,F,1
Drying Time Option,F,1
Perfect!,M,1
How to choose a Car Tyres company,F,1
Pet Flo dog food provides a balanced diet of real food and a best ever trail mix that definitely rocks.,F,1
The flowers were never delivered,M,0
"Canadian Designer Hoodie- Country Attire, Sdn Bhd",F,1
Excellent technical and quality management. No complaint a few things not noticed,F,1
All contacts sent fast and securely.,F,1
"Light, strong and effective.",M,1
"Vet-Medic Got the tortueor for a lousy price done the only view is good, they have excellent food for example and healthy options.",F,1
For high-end frames include custom-made months/years or even custom bodies to fit your prescription. Always challenge yourself to find the best frames for your vision and your price.,F,1
Open to everyone to express beyond their desire,F,1
"Between Big Lots, Home Depot, Fry's, Best Buy, this place has it all for me!",M,1
I swear to God I am done buying from PartsGeek. I hope our lives now will be full of fun things. X,M,0
Launch Pad professional income,M,1
I've ordered as of 05/ 27/18 and was super happy with my treats.,F,1
Excellent service at a high price,M,1
Security of this card is good,M,1
Great service by Envirofone.,M,1
monique york,F,1
dud customer service!,M,0
Good service,F,1
That was consistently great customer service.,F,1
Delivery service is great,F,1
"I'm no aluminum cook. I want high quality pizza, and I like the taste of coal (or you can't even get coal with the kind of pizza I call Orifice Pizza Coaster Over Brown for its calcium and selenium). My question is: What are the differences between a regular cooker and a typical pellet stove, and housing in stainless steel?",F,1
Great products great service: Been using Myprotein for 3 years now and have never once been dissapointed with the quality of their products.,M,1
You Can Call any POPULAR MANAGER IN ANY SECTOR IN THE WORLD.,M,1
Love the Parts Asia stores,M,1
Try this place for high quality bathroom products,F,1
Great prices and wide selection for bicycle accessories at an affordable price,M,1
"good store, timely, service is great",M,1
Great service and at a great price.,M,1
Great prices for the products I purchased for my car,F,1
Avoid Assetsure,F,0
Finding the right car wash is very challenging!,M,1
Great service,M,1
The communication was fluid and quickly.,F,1
"Excellent after many attempts on other sites.: I found the parts I needed, in record time they were delivered and are currently in stalled i will recommend this site to anothers.....Thanks",F,1
they chose american dog food,F,1
A good deal for quality and quick order delivery.,M,1
We are paying for 500 a night and 525 for hotel drinks...that's never an acceptable response,M,0
Kevin - Did your wardrobe my friend's wedding and you are beautiful. I'll tell everyone of this!,F,1
Love the source,F,1
Very good site for China Connections,M,1
excellent experience,M,1
For the longest time.,M,1
companion with wireless camera,F,1
,F,1
"Excellent service. Highly recommend. Great value, quality items for the money.",M,1
Best Informative email I have ever received.,M,1
Five Stars,M,1
"Great prizes, prices are amazing!",F,1
Corsets4u to be the Corsets4me!!,M,1
excellent quality and service,M,1
Highly recommended.,F,1
To save money and get usable numbers: Log in to Identity Guard's service and get the Guard,F,1
It Youngsbasket's Pet Products offers a fast and furnish purchasing experience.,M,1
Excellent service. Excellent results. For cheap.,M,1
Fabulous Fiber: Wise Woman Fiber capsules are great. The delivery of my order was extremely prompt.,F,1
Great selection of lunch and a great price,M,1
I've read mixed reviews but decided to try FramesDirect for my prescription sunglasses because they had exactly what I wanted at a significantly lower cost than other places.,M,1
Awesome Enterprises!,M,1
I come here around Christmas time and after spending big bucks and times with some other shops I have found the results are amazing cheap time well spent!,M,1
The item from sale for a good price,M,1
I've had lots of books in my car since I got an Ipod. I still get tired when i drive.,M,1
They were right.,F,1
Superb service and very honest! Appreciate their customer satisfaction!,F,1
"Wrong Item Shipped, Wrong Item matched with Size Chart",M,0
"Built for the primance of train travel, it combines scenic tours into a unique form of public transportation.",F,1
Merlin sets the bar for all my electronic purchases.,M,1
SS helps with general shopping at home,M,1
Customer Service,M,1
Best site for an asian fashion store,F,1
you do n’t need the apple letter get google trade to make the question » nobody likes your phone :( This australian phone selling service offers a simple transaction so you don’tâ€TMt have to check how ,F,1
Oldies.com won't allow me to cancel my order.: I made 2 purchases a little while back. I decided that I no longer wished to have such items as the processing,M,0
Very quick service...and great quality,M,1
size and style to find water trough,M,1
Videos,F,1
Best Postage ever!,F,1
HASHINGTON D.C. Visitorss receive recognition on their property from company staff and other potential homebuyers. Showroom cleanliness has a direct benefit for,M,1
Good customer service,M,1
"Excellent seller, great product.",M,1
the product was as expected.,F,1
Excellent ink store for fountain pens,F,1
Pressed FRONT songs off a common rock record.,M,1
make sure the size of the is what the dog toy is.,F,0
They are professional and delivery is always prompt.,F,1
Absolutely brilliant service.,M,1
Excellent customer service,M,1
Very intelligent and smart driver,F,1
ultimate in costumes,F,1
Thanks!,M,1
Holiday nets are fantastic!,F,1
Best customer service I've ever dealt with anywhere.,F,1
Service immaculate:,M,1
Very pretty site,M,1
Idea and product selection impressive and service welcomed,M,1
Great: Great products at Great prices!!!!!,M,1
Poor management facility,M,0
We always get good quality travel insurance from insureandgo,F,1
Good Stuff:Great Product.Great Prices. Fast Delivery!,F,1
Basing a buying decision on B&H? It's a smart move and decisions are consistently good ones.,M,1
NCI Fast-dri is store for NCIE liner order,F,1
Excellent Service and items are good quality.,M,1
I think that because the girl to call her service is always busy change can be frustrating.,F,1
i rented from autoeuroope fuel outlet on 13th of august 2013. Than on 21st of august that same day the car rental company advertises the special offer (upon 30th of july 2014). It is not proven true. I will not rent from them using this voucher and from Autoeuroope.,M,0
"Best riding experience around,I had a very good understanding of the various gears I was purchasing based upon my needs and expectations. I was never short of detail and was greeted by Chris and Dave, who were detailed in the fitting process. Overall, I am highly happy with the quality of the execution and price.",M,1
Great service,F,1
Awesome service,F,1
Thank you Taboodesselling,F,1
Work Was Simple. Prices were Prime. Ffmpeth True. Service Reminded Me of eBay....and Mrs.Parts Roots retail oregon.,M,1
Amazing free parking in central London,M,1
best place to buy cycle gear and part for yourt bike.: I always had a good experience buying fron Wiggle.,M,1
Simple and operate,M,1
Best Customer Service for the best Gaming PC,M,1
Very satisfied with this very good service,F,1
Excellent customer service.,F,1
airline.com for china - Flights,M,1
Excellent service with delivery. Everything al right.,M,1
Hydraulic Hammers Hire in Dublin,M,0
"Hispec, hiservice.: The Bose soundoc arrived safely and promptly, thanks to our systematic bookkeeping service.",M,1
Buyer Beware when purchasing above average customer service Pure Formulas,M,1
I was extremely pleased with the parts they provided.,F,1
Welcome Windsor Shopping Centre,F,1
Dial a flight - be patient,F,1
Great service,F,1
i have been on holiday camping in a cabin near nevis in florida. find our companies site with prices in pounds and revolution world tour tour guides.,F,1
I tried Worthpoints 7 day free trial because I wanted to look something up to find its value. I did not find it and went into unsubscribe the very same day I signed up because I wanted to find its value. I did not find it and went into unsubscribe the very same day I signed up because I...,F,0
Too bad the ETA was 45 mins,M,1
Great product and great service.,M,1
I ordered the pink champagne for my sister's wedding anniversary - I'd left it late & didn't hold out too much hope of it arriving in time,F,1
Great value and silent washing machine.,F,1
this place is amazing,F,1
Why doesn't Amazon.com put the Internet price of this camera in it's order,F,1
I LOVE SEEING MY PICTURES ON THE WINE BOTTLES. THE BEST GIFT YOU CAN GIVE,F,1
Sophie H - Summer'2015,F,1
They have more than an item with a refund.,M,0
Value for money and really liked the canvas version,M,1
"Great quality, fast delivery and great price have already used them several times.",F,1
Highly competitive prices,M,1
"Excellent service, product and prices",M,1
Minimum Order Won't Be The Same Everytime : : I don't find PartsGeek easily to beat on Very Sound & Performance SS6008S Dualex - Missing Armor Thumb drive and hybrid drive electronics.,M,1
Very well done,F,1
Great service all around!!!,M,1
parts geek did it right the first time on time :,M,1
"My policy: Super convenient, no scams and their prices are the best.",M,1
Great selection and cheap prices.,M,1
Happy and happy customer : People from RTA: Made the purchase comfortable and quick,M,1
"Good and rapid, lots of quality in high-end through-the-fire restorations.",M,1
"Great service, Trespass dug in well, made for me.",M,1
excellent advice and prompt service,F,1
Totally comfortable and functional.,M,1
"Great design, great price from online store",M,1
Det. of Metals Return Dept,M,0
Great service with being 4 magnetic,M,1
"Next to Everything Technology, Inc",M,1
Customer service and advice available.,M,1
Items arrived with very little delay.,F,1
Why do people waste time pruning Berry when something was available so quick?,F,1
The process was smooth and efficient.,M,1
My Barbour Sweater Someone Needed and Won't Be print,M,1
Great company with great service,M,1
You Delivered!:,M,1
"Helps make the healing process fun,easy, and painless",F,1
Great product!,F,1
Simple accessible site with a good customer service,M,1
Awesome company! Suggested general training.,M,1
"Great Location, Close to city center.",F,1
Great quality products that arrive fast.,F,1
"Quick, helpful & competitive!",M,1
I love buying OLDIES DVDs now.,M,1
I used these guys for my furniture and associate work and they were trustworthy.,F,1
I was confused which credit card I should apply for - but comparecards made the whole process so easy and they gave me samples of the card it would be hard for me to choose,M,1
good product,F,1
Fly ist ist eine Vielzahl einer Anmelden!,F,1
I've been using Inkgarden for about a decade with no complaints!,F,1
great quality and looks nice ( a point to be made for another postroom review about rollaway bedsing ),F,1
Perfect hotel at a high tourist price,F,1
Wow.: Super fast. I ordered a radiator yesterday morning and received it today.,F,1
Best in the business - with the big car!,F,1
I love it!,F,1
Carole Friedman,F,1
I was very pleased with how quickly I received my order and how well the part worked.,M,1
Clearly innovating the business!,M,1
There are lots of self checkout items at this site,F,1
"Good service,dependable and reliable products from the Comforts Association...",F,1
"I think it's time to my blog about my area of interests... I'm so glad to have the chance to give a shout out to this great, highly entertaining shop in Kuala Lumpur.",M,1
Very easy to use!,F,1
Works like it claims,F,1
"great size choices, good descriptions, fast delivery ; satisfaction at sister site - Vodder Lo law",M,1
"Fantastic service and an excellent quality of craftsmanship, very good value for money",F,1
"products are are priced more competitively and with faster delivery, than anywhere else.",F,1
My laptop didn't sell me a USB format drive delivered faster than the reviews helped me realize.,M,1
Prompt delivery service,F,1
"I place an order for filters and they were delivered almost immediately....No issues, no problems!",F,1
CityToner.com: 32-Watt 21-Box Laser Disk Printer Free Shipping & Returns,F,1
"Don't let the ""Customer Service"" suck, they will make it right for you!",M,1
faulty Mercedes taillight,F,0
Easy web transaction!,M,1
Call and Order Flower Online and Returns and was heartbroken for Floralqueen,M,0
"The food was fantastic and a small, but well-stocked shop.",M,1
"fantastic fast delivery, perfect",M,1
Absolutely brilliant service and very competitive prices!,M,1
great value for money,M,1
REVIEW: $30 per day stays are extremely expensive and Travelocity takes advantage of the best discount rates.,M,0
tired!,F,0
great service,F,1
Airport Parking at airports - safe and courteous; they operate meet-and-greet services.,F,1
Comments: scotshopca.com 2 rows living in leeds  with wood floors beautiful kitchen with island separate dining room bar your parents who work hard or can't now hide away for dinner any more unpretentious superior quiet and corner position of max berm to diner at scotshopca.com,M,1
even without the charging plug if you need to sell your phone at terminal s simply write a digit,F,1
ALL IN ONE PLACE: GREAT WEBSITE TO BUY ALL KIND OF AUTO PARTS,M,1
Can't fault them!,F,1
I considered it a must have device for getting pet food,F,1
Thank-you for the diamond!!,M,1
The Fty weekly service was good.,M,1
Easy PEI Custom Label Orders,F,1
Windows for optimal performance,M,1
Gbposters,F,1
"Absolutely excellent, never in airline Seat selection worked excellent.",M,1
pens just get better,M,1
"Dune Medicals 1000m2 stocking depot in Dave, Utrecht and Bavaria",F,1
really great customer service,F,1
Had a great experience with some packages..,M,1
Great site!,F,1
The assistant pro kept me and my game basic.,M,1
The Staff was fantastic and very helpful when we had a few problems,F,1
B Ambrosian Camera Dealer. Site of this video from around this year.,M,1
The experience was extremely great,F,1
You'll like them!,M,1
ou can't go wrong with Goldstar You just gotta love Goldstar!,F,1
,M,1
West Coast Shaving has the widest selection and full-service male grooming products,M,1
Not expensive but worth it,M,1
Appliances Online - win of our International Vote for customer service excellence and food for thought,M,1
I've done business with them since 1993 and never had a problem. I always end up at B&W for a good price.,M,1
Sign up.,F,1
if you're confused about where to buy electronics equipment from then their multiple reviews will save you some trouble.,M,1
Get the best from Marshall Electronics!!!,M,1
This pharmacy does decent pharmacy work,F,0
Easy online purchase and good fast delivery.,F,1
Outstanding Service,M,1
Love their prices,F,1
Its close to train station,M,1
First time seller and product came out great.,F,1
We felt to appreciative of them,M,1
Great service,M,1
I really like your site!!!,F,1
best bmw parts site,M,1
I was charged 183.87 without explanation.,M,0
Amazing selection and awesome customer service -- Added bonus: This is the only location that sells caffeine and one of the best!,M,1
Complimentary beautifully canvas artwork for celebration of a special occasion.,M,1
FIRST CLASS PARTS:,M,1
The Wardrobes-at-Home Review Week,M,1
"Gak,sons' Factory - decide will buy.cellphone",M,1
It is excellently user friendly.,M,1
Document : PRODUIT SOLIDE ET PAS TRES CHER.: CONTENTE DE CE PRODUIT. PEUX COUTEUX ET DE BONNE QUALITE PONRIOTIE.,F,1
Should call for cheaper rates,M,0
"Okinetex Barry Gatinski auto insurance company in Phoenix, AZ, specializes in auto insurance, repair, and estate planning.",M,1
Long story short: Fantastic Service and Items,M,1
Does it matter what colour you get?,F,0
How to buy the best contacts,M,1
I think I am hypes off the chocolates.,M,1
Now with Ashley IV my Service Dog can breed more so she can travel the world,F,1
Above and beyond,M,1
"Excellent quality store, can didn't manage to get utmost great value of your products",F,1
"Good quality, and fast delivery. The brats look nice and nice.",F,1
Office space with excellent support staff,M,1
Are you shopping for a patient? Grab an inexpensive pair of shin pads,M,1
Report of Alala Millenia Caisi Bora Maria Sular,F,0
Feature wise I love USN EM electrical contacts But if you order everything from eEroparts.com PLUS get getting SPECIAL VERY DURRY deals,M,1
Great service.,F,1
help dogs like this,F,1
Hifx financial services customer review,F,1
GREAT DISHWASHER!,F,1
"Walsall, very snooty, scary driver",F,0
Not impressed,F,0
"Easy to book, and honest",M,1
Too Long...........: My intention isn't to complain but there are two things that compel me,M,0
"Provide best service on pc, home, Macev",M,1
The ultimate one-stop shop for all things pens and pencils.,M,1
This is the first TaiTower restaurant I have ever had.,M,1
Outstanding service and secure online ordering from Appliances On an Expert!,M,1
