text,category,label
I want to watch Wide-Eyed and Ignorant,SearchCreativeWork,LABEL_5
Play the music of Tupac Shakur,PlayMusic,LABEL_3
I want to watch Uproar in the Studio at the nearest cinema,SearchScreeningEvent,LABEL_6
What's the weather going to be like not far from East Timor,GetWeather,LABEL_2
rate the current book series 4 out of 6,RateBook,LABEL_4
I need to book a table for 6 people at Montreal Pool Room in Croatia .,BookRestaurant,LABEL_1
I want to hear the top 5 Jamie Lidell songs,PlayMusic,LABEL_3
Please give 1 points to Waiting for the Mahatma .,RateBook,LABEL_4
Play some Game music.,PlayMusic,LABEL_3
"Please look up the painting , Modern times .",SearchCreativeWork,LABEL_5
Find a trailer called Sheriff of Tombstone .,SearchCreativeWork,LABEL_5
How is the weather in Indian Creek Village ?,GetWeather,LABEL_2
what are the movies movie times nearby,SearchScreeningEvent,LABEL_6
Add 12 Odd Future Songs to the Club Hits playlist.,AddToPlaylist,LABEL_0
What is the weather forecast for close-by Burkina,GetWeather,LABEL_2
look for the trailer for Red Stallion in the Rockies,SearchCreativeWork,LABEL_5
What is the weather like in Hurstville ?,GetWeather,LABEL_2
I give Warheart 5 stars .,RateBook,LABEL_4
I'd like to watch the trailer for Dungeons & Dragons Chronicles of Mystara .,SearchCreativeWork,LABEL_5
Is it going to be stormy in Austin Creek State Recreation Area at 0942 ?,GetWeather,LABEL_2
give two out of 6 points to current textbook,RateBook,LABEL_4
What time is Class playing at Amco Entertainment ?,SearchScreeningEvent,LABEL_6
give four stars out of 6 to current book,RateBook,LABEL_4
Book a reservation for me and my step sister in Nebraska in two seconds,BookRestaurant,LABEL_1
"Please find me the work, Earth Intruders .",SearchCreativeWork,LABEL_5
rate this novel 4 out of 6,RateBook,LABEL_4
Rate Company for Gertrude 4 of 6,RateBook,LABEL_4
What movie schedules at Consolidated Theatres,SearchScreeningEvent,LABEL_6
Play Regulate…g Funk Era by artist Iouri Bachmet on groove shark,PlayMusic,LABEL_3
I would like to book the best southeastern brazilian food court,BookRestaurant,LABEL_1
Where can I locate the show The Return of Mr. Moto,SearchCreativeWork,LABEL_5
Add the rating for this current series a four out of 6 points,RateBook,LABEL_4
Will it be colder in Holladay Saint Kitts and Nevis,GetWeather,LABEL_2
Will there be hail on 7/16/2032 in the Dominican Republic,GetWeather,LABEL_2
Add entity eternally to playlist Lazy Chill Afternoon,AddToPlaylist,LABEL_0
I need a reservation at sunrise for melva and heidi at a local restaurant .,BookRestaurant,LABEL_1
Play some fast fusion on Spotify,PlayMusic,LABEL_3
Is The Country Doctor on the schedule at any theater near me?,SearchScreeningEvent,LABEL_6
I'd like to rate the book White Dawns at zero of 6 stars .,RateBook,LABEL_4
book at Beardslee Castle in Fairview Lanes for fifteen o'clock,BookRestaurant,LABEL_1
Play playlist Chilled R&B,PlayMusic,LABEL_3
"Need a table for rita, antoinette and I",BookRestaurant,LABEL_1
Can you please find me The Biggest Loser Brunei The Spirit of Life photograph ?,SearchCreativeWork,LABEL_5
Find a place for me to eat in Connecticut for 9 and a half months from now,BookRestaurant,LABEL_1
Add histoire de melody nelson to my 90's Baby Makers playlist,AddToPlaylist,LABEL_0
I rate The Blood of Others series only five points .,RateBook,LABEL_4
Is it hot in Zephyrhills ?,GetWeather,LABEL_2
add Teddy Boy to my Irish Folk – Jigs & Reels playlist,AddToPlaylist,LABEL_0
What is the movie schedule at Caribbean Cinemas,SearchScreeningEvent,LABEL_6
"Will it be hot in the Cayman Islands on November 12th, 2035",GetWeather,LABEL_2
Is this film going to be at Malco Theatres ?,SearchScreeningEvent,LABEL_6
play the TV show Iron Seed,SearchCreativeWork,LABEL_5
in the neighbourhood find movies with movie times,SearchScreeningEvent,LABEL_6
What time is Murph the Surf playing,SearchScreeningEvent,LABEL_6
Please get seating for me and my children,BookRestaurant,LABEL_1
rate Six Months in Mexico 1 out of 6,RateBook,LABEL_4
Will the sun be out close-by Admiralty Island National Monument ?,GetWeather,LABEL_2
I need a table at Surf Taco in East Uniontown,BookRestaurant,LABEL_1
Rate Who Moved My Cheese? a one,RateBook,LABEL_4
I'd like to see the picture The Collection – The Collector 2,SearchCreativeWork,LABEL_5
What time are films showing in the neighborhood,SearchScreeningEvent,LABEL_6
Find a popular diner that serves brazilian close by Oklahoma for nine people.,BookRestaurant,LABEL_1
this saga is definitely worth 4 stars .,RateBook,LABEL_4
Is Hercules and Xena The Battle for Mount Olympus playing at the closest cinema,SearchScreeningEvent,LABEL_6
Is The Umbrellas of Cherbourg playing near me?,SearchScreeningEvent,LABEL_6
add an album in Sweet Soul Chillout,AddToPlaylist,LABEL_0
add willie nelson live to my Acoustic Blues playlsit,AddToPlaylist,LABEL_0
add the artist Jamie T to hallie's winter music playlist,AddToPlaylist,LABEL_0
Rate The Scoop 4 of 6 stars,RateBook,LABEL_4
Rate this album 0 points,RateBook,LABEL_4
I want a table for eight at GU,BookRestaurant,LABEL_1
Rate Seeing with the Eyes of Love 5 points,RateBook,LABEL_4
What's the weather like in Saint Regis Falls ND,GetWeather,LABEL_2
Where can I purchase the video game The Blue Generation,SearchCreativeWork,LABEL_5
Play an Alla Pougatcheva ballad on Pandora,PlayMusic,LABEL_3
When will The Honor of an Outlaw be showing?,SearchScreeningEvent,LABEL_6
what films are showing in the neighbourhood,SearchScreeningEvent,LABEL_6
Book me a restaurant that serves festoni for eight in New Hampshire,BookRestaurant,LABEL_1
play Iheart tunes by Neil Finn,PlayMusic,LABEL_3
Add Fra Mols til Skagen to my this is trey songz playlist,AddToPlaylist,LABEL_0
What's the weather going to be like at 102120 close by ID,GetWeather,LABEL_2
book for one in Indiana at a restaurant,BookRestaurant,LABEL_1
add Of Rivers and Religion to my sexy as folk playlist,AddToPlaylist,LABEL_0
this is rated 5 out of 6 for an essay,RateBook,LABEL_4
I give The Lacuna a rating of 5 stars under the chronicle rated at 6,RateBook,LABEL_4
Can you play Crossover ?,PlayMusic,LABEL_3
Rate In the Eyes of Mr. Fury zero of 6,RateBook,LABEL_4
I would like reservations to a popular pub in Burkina for 10 people.,BookRestaurant,LABEL_1
book a table for ten people,BookRestaurant,LABEL_1
What is the weather forecast in Pinson South Dakota,GetWeather,LABEL_2
Lets go to a bistro in SD,BookRestaurant,LABEL_1
"book a restaurant for me, angela and mercedes in Cimarron City , Colorado",BookRestaurant,LABEL_1
find a movie called Bruce Lee,SearchCreativeWork,LABEL_5
I want a table for 9 at the taverna pub,BookRestaurant,LABEL_1
rate the current textbook 4 of 6 points,RateBook,LABEL_4
the stars for this are 4 for a textbook,RateBook,LABEL_4
Will it be freezing in the city of Sardis,GetWeather,LABEL_2
find Plitt Theatres showing animated movies,SearchScreeningEvent,LABEL_6
Look for Global Clubbing The Netherlands .,SearchCreativeWork,LABEL_5
For my playlist jazzy dinner add the name Kick Over the Traces,AddToPlaylist,LABEL_0
add the tune to the Indie Workout playlist,AddToPlaylist,LABEL_0
Add this tune to Morning Commute,AddToPlaylist,LABEL_0
Play Michael Angelo Batio,PlayMusic,LABEL_3
rate this book a zero,RateBook,LABEL_4
What is the TV show This Is Halloween ?,SearchCreativeWork,LABEL_5
What is the weather in the Falkland Islands,GetWeather,LABEL_2
Can you add a tune to my Jazzy Romance playlist,AddToPlaylist,LABEL_0
Find a soundtrack called New Religion .,SearchCreativeWork,LABEL_5
When is Em4Jay playing at the movie theatre ?,SearchScreeningEvent,LABEL_6
Play music from Tommy Ridgley .,PlayMusic,LABEL_3
What are the movie schedules for the Caribbean Cinemas,SearchScreeningEvent,LABEL_6
I need the movie Kids in Love at the movie house,SearchScreeningEvent,LABEL_6
Play Entre Raices Y Antenas by Lynn & Wade Llp .,PlayMusic,LABEL_3
what time is Bhoot Returns showing at Douglas Theatre Company,SearchScreeningEvent,LABEL_6
Add track to novedades viernes sudamérica,AddToPlaylist,LABEL_0
I gave Chart Throb 4 of 6 stars,RateBook,LABEL_4
I want eat at the best spanish restaurant in the Georgia area that is within walking distance for me and my nephew at noon,BookRestaurant,LABEL_1
I want to hear a track by Ryohei Yamamoto on Vimeo,PlayMusic,LABEL_3
show creativity of Wild About Animals,SearchCreativeWork,LABEL_5
Play music on Netflix .,PlayMusic,LABEL_3
Please get me Rough and Ready saga .,SearchCreativeWork,LABEL_5
find a highly rated brasserie restaurant in Liberia and book a table for 5,BookRestaurant,LABEL_1
When is Man in Outer Space playing at Megaplex Theatres,SearchScreeningEvent,LABEL_6
Find a painting called Satisfaction Is the Death of Desire .,SearchCreativeWork,LABEL_5
add Chong Nee to my Spread The Gospel,AddToPlaylist,LABEL_0
Show me the book F-1 Grand Prix Part II,SearchCreativeWork,LABEL_5
Play me the trailer for Chasing After Shadows... Living with the Ghosts .,SearchCreativeWork,LABEL_5
Is it hot here,GetWeather,LABEL_2
I give the previous album a 4 .,RateBook,LABEL_4
What are the movie times for animated movies playing close by,SearchScreeningEvent,LABEL_6
Find the movie schedules for Speakeasy Theaters .,SearchScreeningEvent,LABEL_6
Is there fog in New York,GetWeather,LABEL_2
What animated movies can I see at AMC Theatres ?,SearchScreeningEvent,LABEL_6
find Manthra Mothiram at Century Theatres,SearchScreeningEvent,LABEL_6
Play the playlist Grime Shutdown,PlayMusic,LABEL_3
give zero out of 6 stars to Smart Girls Get What They Want book,RateBook,LABEL_4
Will it be hot in Saint Jo Alaska,GetWeather,LABEL_2
"Book The Crown at Whitebrook in the Solomon Islands for Dec. the twenty-third, 2029 .",BookRestaurant,LABEL_1
book me best joint restaurant for 2 members at AMerican Samoa today,BookRestaurant,LABEL_1
Book a table for 1 at RingSide Steakhouse in Hurricane .,BookRestaurant,LABEL_1
I'd like to see the trailer Tony Parker,SearchCreativeWork,LABEL_5
I need a reservation that has spanish rice at a cafeteria with ten people today,BookRestaurant,LABEL_1
put Anna Grigorjewna Semenowitsch in all out 00s list,AddToPlaylist,LABEL_0
I want to go to Antigua and Barbuda and eat at a table for 4 .,BookRestaurant,LABEL_1
"book a restaurant in North Dakota for my child and I on november seventh, 2037",BookRestaurant,LABEL_1
I'd like seats for five at a place in Verden right now,BookRestaurant,LABEL_1
Where is the closest cinema that is playing The Honeymoon Killers,SearchScreeningEvent,LABEL_6
Will it be warm here in one hour,GetWeather,LABEL_2
What cinema is playing Great Guy,SearchScreeningEvent,LABEL_6
movie schedules for animated movies playing in the neighbourhood,SearchScreeningEvent,LABEL_6
Can you get me The Education of Little Tree song ?,SearchCreativeWork,LABEL_5
Let me get reservations for a party of three at a bar with a pool .,BookRestaurant,LABEL_1
Can I get the movie schedule for the Bow Tie Cinemas .,SearchScreeningEvent,LABEL_6
Play a popular melody by Lindsay Lohan on Youtube .,PlayMusic,LABEL_3
book a spot in town in the same area as me,BookRestaurant,LABEL_1
add this album to the playlist Guest List Engadget,AddToPlaylist,LABEL_0
Find a song called This Champagne Mojito Is the Last Thing I Own .,SearchCreativeWork,LABEL_5
Play music from the seventies,PlayMusic,LABEL_3
"find History of North Dakota , a TV series",SearchCreativeWork,LABEL_5
Please search for All the Lovers trailer .,SearchCreativeWork,LABEL_5
Put a molly mcguire album in my metal talks kreator playlist.,AddToPlaylist,LABEL_0
Add anti ep to esenciales,AddToPlaylist,LABEL_0
I need to book a table for three at a restaurant in South Sudan,BookRestaurant,LABEL_1
Will it be warm at Tembe Elephant Park on san jacinto day,GetWeather,LABEL_2
Find the Hopeless Romantic photograph,SearchCreativeWork,LABEL_5
show weather forecast in West Wildwood South Carolina,GetWeather,LABEL_2
Play the artist Tei last concert on Netflix,PlayMusic,LABEL_3
I want to know the temperate from January the twentieth in Brazil,GetWeather,LABEL_2
Play some seventies music on Netflix .,PlayMusic,LABEL_3
What is the closest movie house playing House of the Dead 2,SearchScreeningEvent,LABEL_6
"Play the track Goodbye Alexander, Goodbye Honey Boy from Ehsaan Noorani",PlayMusic,LABEL_3
What are the movie schedules,SearchScreeningEvent,LABEL_6
I need a table for 9,BookRestaurant,LABEL_1
"book a table at an oyster bar that serves apple butter on Jul. 10th, 2028",BookRestaurant,LABEL_1
this chronicle of The Origins and History of Consciousness is a three,RateBook,LABEL_4
Add Falcon to the Top Tracks in Metal playlist.,AddToPlaylist,LABEL_0
"What will the weather be within the same area in Minnesota on June 27th, 2023 ?",GetWeather,LABEL_2
play Jawad Ahmad,PlayMusic,LABEL_3
Book a table at Crown Candy Kitchen for lacy and I,BookRestaurant,LABEL_1
What cinema is the closest showing movies,SearchScreeningEvent,LABEL_6
I'm rating The Skystone with three points,RateBook,LABEL_4
I want to hear Choice on Last Fm from the twenties .,PlayMusic,LABEL_3
I want to hear the Live At Slane Castle album by Haifa Wehbe,PlayMusic,LABEL_3
Tell me the weather forecast faraway from TX,GetWeather,LABEL_2
What will the weather be in the current position on Dec. 23 ?,GetWeather,LABEL_2
What's the weather in the U.S. Virgin Islands,GetWeather,LABEL_2
"find Hope & Other Sins , a TV show",SearchCreativeWork,LABEL_5
What are the movie times for Amco Entertainment,SearchScreeningEvent,LABEL_6
I want to give Elephants Can Remember 4 out of 6 points,RateBook,LABEL_4
Add Fabri Fibra to evening acoustic,AddToPlaylist,LABEL_0
Add song to Kids Workout,AddToPlaylist,LABEL_0
Show me The Courts of Chaos,SearchCreativeWork,LABEL_5
i need a table at a close by restaurnt in Hackney for ten,BookRestaurant,LABEL_1
Add Hallucinations of Despair to my this is trey songz playlist.,AddToPlaylist,LABEL_0
Rate this chronicle 0 stars,RateBook,LABEL_4
Where is Mother and Child plkaying,SearchScreeningEvent,LABEL_6
Play Metal Crash Course playlist.,PlayMusic,LABEL_3
"Please look up the song , Twist of shadows .",SearchCreativeWork,LABEL_5
Is Love and Other Troubles playing,SearchScreeningEvent,LABEL_6
"Play music from jeremy taylor on the album Dormi Amore, La Situazione Non È Buona on Groove Shark",PlayMusic,LABEL_3
Play satire,PlayMusic,LABEL_3
"find Five Spanish Songs , a photograph",SearchCreativeWork,LABEL_5
Find movie times .,SearchScreeningEvent,LABEL_6
Find the schedule for the closest films at a cinema at meal time.,SearchScreeningEvent,LABEL_6
Rate the City of Lost Souls one of 6 points,RateBook,LABEL_4
I'd like to see the television show Best-Of Design of a Decade 2003–2013,SearchCreativeWork,LABEL_5
What's the weather forecast for Nishi Sonogi Hantō Prefectural Natural Park three years from now ?,GetWeather,LABEL_2
"book me a restaurant that serves hot chicken in Dutch Mills , North Dakota for 10 people for 3 am",BookRestaurant,LABEL_1
go ahead and add blowfly to my This Is Schubert list,AddToPlaylist,LABEL_0
add Jalal Zolfonun to my Nature Noise,AddToPlaylist,LABEL_0
book a table for seven in Walpole,BookRestaurant,LABEL_1
"find Face the Truth , a TV show",SearchCreativeWork,LABEL_5
forecast for Hardinsburg 20 seconds from now,GetWeather,LABEL_2
What will the weather be like at 3 AM in Trinidad and Tobago,GetWeather,LABEL_2
Give The Resistance 2 out of 6 stars .,RateBook,LABEL_4
find a game called So Long Self,SearchCreativeWork,LABEL_5
give this textbook zero out of 6,RateBook,LABEL_4
show Andy Williams Sings Steve Allen TV show,SearchCreativeWork,LABEL_5
Will it be warm neighboring here in Whitehouse ?,GetWeather,LABEL_2
I want to listen to Speed Metal Symphony,PlayMusic,LABEL_3
Start up my Independent Music Monday playlist.,PlayMusic,LABEL_3
"Rate The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II The Kingdom on the Waves series 2 points",RateBook,LABEL_4
Tell me what movies are at AMC Theatres .,SearchScreeningEvent,LABEL_6
Book a table for tomorrow for five people.,BookRestaurant,LABEL_1
give two points out of 6 to this novel,RateBook,LABEL_4
Play music from 1977,PlayMusic,LABEL_3
Find The Cartel Vol. 2 novel,SearchCreativeWork,LABEL_5
Rate this album a one,RateBook,LABEL_4
"Please book reservations at a restaurant that serves empanada , party for three with betty and dolly .",BookRestaurant,LABEL_1
What's the weather like at Powers Lake ?,GetWeather,LABEL_2
find the photograph JBoss Enterprise SOA Platform,SearchCreativeWork,LABEL_5
Play the heinz strobl ep from 2016 on Groove Shark,PlayMusic,LABEL_3
add the tune by misato watanabe to the Trapeo playlist,AddToPlaylist,LABEL_0
I want to give The Pilgrims of Rayne three out of 6 stars,RateBook,LABEL_4
What is the movie schedule for animated movies in the area,SearchScreeningEvent,LABEL_6
Is it windy in Custar,GetWeather,LABEL_2
What will the weather be in Wakarusa,GetWeather,LABEL_2
Rate I Capture the Castle 0 points,RateBook,LABEL_4
Tell me the forecast for Sweden,GetWeather,LABEL_2
give this a four for the next series of points,RateBook,LABEL_4
what is the forecast for january twenty-eighth in Kentmore Park,GetWeather,LABEL_2
find movie schedules,SearchScreeningEvent,LABEL_6
Rate Puttering About in a Small Land zero out of 6 stars,RateBook,LABEL_4
Is it rainy season in Manitou Springs ?,GetWeather,LABEL_2
find a novel called Best Hits Live Save the Children Speed Live 2003,SearchCreativeWork,LABEL_5
Add the name kids in the street to the plylist New Indie Mix,AddToPlaylist,LABEL_0
"Book a reservation for me, marva and barbara at a restaurant with parking",BookRestaurant,LABEL_1
Find a top fifty zahir howaida concerto from the seventies,PlayMusic,LABEL_3
Add Munawar Ali Khan to my mujeres y hombres y fiesta,AddToPlaylist,LABEL_0
Play me the greatest Doctor Fink song on zvooq,PlayMusic,LABEL_3
Book a restaurant that serves pasta for 5 people.,BookRestaurant,LABEL_1
show game Alien Breed II - The Horror Continues,SearchCreativeWork,LABEL_5
"What is the weather in Shenandoah Heights , Montenegro",GetWeather,LABEL_2
Add tune to Blues,AddToPlaylist,LABEL_0
Play some Retro music.,PlayMusic,LABEL_3
I'm in the mood to listen to meditative music.,PlayMusic,LABEL_3
give this a 0 for this book,RateBook,LABEL_4
what is the weather forecast close to Puerto Rico,GetWeather,LABEL_2
add Ik Tara to laundry playlst,AddToPlaylist,LABEL_0
Add track by Fleetwood Mac to lakeisha's playlist TODO NOVEDADES,AddToPlaylist,LABEL_0
Play a song from 1950,PlayMusic,LABEL_3
Look up The Park album,SearchCreativeWork,LABEL_5
Play me some Max Martin on Lastfm,PlayMusic,LABEL_3
Please play me a top nineties theme song,PlayMusic,LABEL_3
Is it going to hail in Mount San Jacinto State Park,GetWeather,LABEL_2
Play me some folklore music,PlayMusic,LABEL_3
What's the weather going to be like near Moldova on fri.,GetWeather,LABEL_2
add john brown to my Dinnertime Acoustics,AddToPlaylist,LABEL_0
How is faraway cloudy at 0245 am in Brumley ?,GetWeather,LABEL_2
what is the forecast for Orienta for hotter weather,GetWeather,LABEL_2
Please let me know the weather forecast in Louisiana state,GetWeather,LABEL_2
Add lari white song to my Soulful Disco playlist,AddToPlaylist,LABEL_0
Show The drive of life album,SearchCreativeWork,LABEL_5
add décadas to my list Neo da Matrix,AddToPlaylist,LABEL_0
Play thirties concerto music on Google Music,PlayMusic,LABEL_3
Will it get hotter far away in Afghanistan ?,GetWeather,LABEL_2
Show me the Only the Strong Survive photograph,SearchCreativeWork,LABEL_5
add this tune to my It's a Southern Thing playlist,AddToPlaylist,LABEL_0
Can i get the showtimes for films at Dickinson Theatres ?,SearchScreeningEvent,LABEL_6
I need a table for 3 at David Whitney House in Brazil,BookRestaurant,LABEL_1
I need to get a restaurant reserved in SD .,BookRestaurant,LABEL_1
find animated movies close by with a movie schedule,SearchScreeningEvent,LABEL_6
Can you tell me the weather forecast for Denmark,GetWeather,LABEL_2
Add the trey gunn tune to my French N' Heavy playlist.,AddToPlaylist,LABEL_0
Play my Trabajo Relax playlist,PlayMusic,LABEL_3
Please play Kabhi Jo Baadal Barse by Ruth Lorenzo,PlayMusic,LABEL_3
book rosalie stewart and evelyn at a restaurant,BookRestaurant,LABEL_1
show book of Pokémon The Mastermind of Mirage Pokémon,SearchCreativeWork,LABEL_5
Will it get hotter in Hext ?,GetWeather,LABEL_2
Please book me a table for 1 person at a brasserie .,BookRestaurant,LABEL_1
Go to movie times at IMAX Corporation,SearchScreeningEvent,LABEL_6
I gave Joseph Andrews a 0 out of 6,RateBook,LABEL_4
I would rate this album a 3,RateBook,LABEL_4
Add Gary Valenciano to the power gaming playlist.,AddToPlaylist,LABEL_0
I want to hear a fourties ballad by Luciano,PlayMusic,LABEL_3
Put this album in shuffle syndrome,AddToPlaylist,LABEL_0
Check films screened at the closest cinema,SearchScreeningEvent,LABEL_6
Book a bakery with smoking room for nine in Niger .,BookRestaurant,LABEL_1
Give one / 6 points to Who Will Cry When You Die,RateBook,LABEL_4
is it going to be hot here in 8 years,GetWeather,LABEL_2
I need a reservation for a highly rated bistro for a party of 10 .,BookRestaurant,LABEL_1
Play a tune from Space Mandino .,PlayMusic,LABEL_3
Please play music from Itunes,PlayMusic,LABEL_3
Play some Ven A Mi,PlayMusic,LABEL_3
Play something on my Classic Jazz Funk playlist on Zvooq,PlayMusic,LABEL_3
Find Manual of Love 2 .,SearchCreativeWork,LABEL_5
Find me a saga by Reproductions,SearchCreativeWork,LABEL_5
play some Nastya Kamenskih on Zvooq,PlayMusic,LABEL_3
add track to my Las Canciones Más Lindas Del Mundo playlist,AddToPlaylist,LABEL_0
what animated movie are at the theater in the neighborhood,SearchScreeningEvent,LABEL_6
Play music from the artist Irma Pane,PlayMusic,LABEL_3
Is it cloudy in Georgia,GetWeather,LABEL_2
I'd like a reservation for Thornbury Castle three hours from now in NM .,BookRestaurant,LABEL_1
Will it be hot during Winter ?,GetWeather,LABEL_2
Book a restaurant in Papua New Guinea for me and my daughters,BookRestaurant,LABEL_1
find a game called Gladiators Australian Series 1,SearchCreativeWork,LABEL_5
Play ecstatic,PlayMusic,LABEL_3
input this album onto my All Things Post list,AddToPlaylist,LABEL_0
Add song to orgánica,AddToPlaylist,LABEL_0
what films are showing nearby,SearchScreeningEvent,LABEL_6
Add So Far to my Retrovisor playlist.,AddToPlaylist,LABEL_0
give four out of 6 star to this novel,RateBook,LABEL_4
listen to ballad songs from the twenties,PlayMusic,LABEL_3
What is Just Like in the Old Country,SearchCreativeWork,LABEL_5
"Will it get chillier in Las Lomas , British Virgin Islands on Nov. the 21st ?",GetWeather,LABEL_2
Rate Star Wars - The Old Republic Revan 1 points,RateBook,LABEL_4
I want to add the Tim Smith album to my best of 2010's playlist,AddToPlaylist,LABEL_0
"book a table not far in WY at a gastropub with internet for me, jenny and antoinette in one week",BookRestaurant,LABEL_1
give one out of 6 to Encyclopedia Magica chronicle,RateBook,LABEL_4
Add a track to my playlist funk outta here,AddToPlaylist,LABEL_0
Where can I buy a Barometer Clock,SearchCreativeWork,LABEL_5
"I would like to add to my plalist, Visjoner onto the old school metal one",AddToPlaylist,LABEL_0
rate this album three stars,RateBook,LABEL_4
Will it storm in Charles Pinckney National Historic Site,GetWeather,LABEL_2
I want to add a tune to my spanish metalblood playlist,AddToPlaylist,LABEL_0
PLay a track by deeyah khan .,PlayMusic,LABEL_3
add harry chapin in stress relief playlist,AddToPlaylist,LABEL_0
Bombshells saga download,SearchCreativeWork,LABEL_5
Please get seating at Bouchon in Tonga for jimmie and chasity howard,BookRestaurant,LABEL_1
book midday at a faraway cuban place for five at a top-rated bakery in Grainola,BookRestaurant,LABEL_1
I want to give Select Conversations with an Uncle 5 stars,RateBook,LABEL_4
I rate the current textbook a 0 of 6,RateBook,LABEL_4
I want to add another album to the Scratchy Back Porch Blues playlist.,AddToPlaylist,LABEL_0
what is the overcast forecast for Torrey Pines State Beach,GetWeather,LABEL_2
Please play some music from the seventies movement,PlayMusic,LABEL_3
whats the weather forecast in Nicaragua,GetWeather,LABEL_2
I want you to add must b 21 to acoustic covers the mash ups .,AddToPlaylist,LABEL_0
Play the top-5 songs from Paddy Reilly on zvooq,PlayMusic,LABEL_3
Rate the current textbook a 0 out of 6 .,RateBook,LABEL_4
play the Hell of a Life movie,SearchCreativeWork,LABEL_5
Is The Ghost Breakers playing at Plitt Theatres in two hours,SearchScreeningEvent,LABEL_6
find a movie called No More Sadface,SearchCreativeWork,LABEL_5
What are the movie times ?,SearchScreeningEvent,LABEL_6
Add tune to my Folk Music At The Gaslight Café,AddToPlaylist,LABEL_0
book a restaurant for 4 of us,BookRestaurant,LABEL_1
Go to cali fire and add refrain to my playlist,AddToPlaylist,LABEL_0
Add javine hylton to my evening playlist,AddToPlaylist,LABEL_0
How cold will it be in Palau around fourteen o'clock ?,GetWeather,LABEL_2
Show me NCAA College Football 2K3,SearchCreativeWork,LABEL_5
put this tune on my your favorite coffeehouse playlist,AddToPlaylist,LABEL_0
Add wes scantlin song to my autumn,AddToPlaylist,LABEL_0
Is there a snowstorm coming in Dana at 4 pm,GetWeather,LABEL_2
What does For All the Wrong Reasons look like,SearchCreativeWork,LABEL_5
What theater is playing Haunted Honeymoon,SearchScreeningEvent,LABEL_6
I want to hear some of David Gilmour 's music from 1973,PlayMusic,LABEL_3
Add a track to the emo forever playlist.,AddToPlaylist,LABEL_0
susanne and carey phillips want to go to a brasserie not far from Pricedale that serves southern brazilian,BookRestaurant,LABEL_1
I'd like to eat at a pho restaurant in VT,BookRestaurant,LABEL_1
Will it be hot in Keachi,GetWeather,LABEL_2
I want to watch TV series The Practical Pig,SearchCreativeWork,LABEL_5
Play a seventies soundtrack by steve walsh on Groove Shark,PlayMusic,LABEL_3
Find a show called Friday Download .,SearchCreativeWork,LABEL_5
Play the most popular sort by ep by Brooke Fraser,PlayMusic,LABEL_3
I want a matt garrison tune in my Fresh Finds Fire Emoji playlist.,AddToPlaylist,LABEL_0
Play me the show Cheaper By the Dozen 2,SearchCreativeWork,LABEL_5
Is it windy in June Park ?,GetWeather,LABEL_2
Rate this saga 0 stars,RateBook,LABEL_4
play southern rock tunes,PlayMusic,LABEL_3
"Is there an expected blizzard in Brook , Tennessee today ?",GetWeather,LABEL_2
Play me a 1974 tune on Slacker,PlayMusic,LABEL_3
Can you find the soundtrack for Westcountry Live,SearchCreativeWork,LABEL_5
Is fog forecast close-by to Pakistan ?,GetWeather,LABEL_2
Book the Labworth Café in Ethiopia for six people.,BookRestaurant,LABEL_1
What's the weather here in 52 and a half weeks,GetWeather,LABEL_2
Is I Was an American Spy playing at 11 a.m. at Southern Theatres,SearchScreeningEvent,LABEL_6
"Play a tune or two from Kansas City, Missouri",PlayMusic,LABEL_3
"Please search the work, Eve-Olution .",SearchCreativeWork,LABEL_5
find me a game called Spaceball,SearchCreativeWork,LABEL_5
Find the movie schedule for Dipson Theatres .,SearchScreeningEvent,LABEL_6
Find the schedule for Central Airport at the closest movie theatre .,SearchScreeningEvent,LABEL_6
give 5 points to current novel,RateBook,LABEL_4
Book a restaurant not far in Milladore for 6 people.,BookRestaurant,LABEL_1
Play the best Bruce Ruffin music on Youtube .,PlayMusic,LABEL_3
book a table on 6/14/2035 at a bakery within walking distance of Equatorial Guinea that serves paella,BookRestaurant,LABEL_1
I give the rating of 1 of 6 stars for this novel,RateBook,LABEL_4
What are the morning movie schedules for movies in the neighborhood ?,SearchScreeningEvent,LABEL_6
Give the current series a two,RateBook,LABEL_4
Play any song from 2001,PlayMusic,LABEL_3
Will there be a storm on Christmas Day in my current place ?,GetWeather,LABEL_2
Search for the picture Foghat ?,SearchCreativeWork,LABEL_5
"Tell me the weather forecast for Carmichaels , Gambia at one am",GetWeather,LABEL_2
what will the weather be in Port Costa FM will it be foggy,GetWeather,LABEL_2
find a novel called Episodi di Sons of Anarchy,SearchCreativeWork,LABEL_5
What will the weather be in Kokhanok,GetWeather,LABEL_2
Play prints in the stone by Helen Baylor,PlayMusic,LABEL_3
Find the Saison 7 de How I Met Your Mother show,SearchCreativeWork,LABEL_5
play dj kentaro from the year 1994,PlayMusic,LABEL_3
give this textbook zero out of 6 points,RateBook,LABEL_4
Play Eve,PlayMusic,LABEL_3
Please add faccetta nera to my this is handel playlist,AddToPlaylist,LABEL_0
Play some Hong Junyang .,PlayMusic,LABEL_3
Show the movie schedule,SearchScreeningEvent,LABEL_6
how is the weather in Mount Olivet,GetWeather,LABEL_2
"What is the weather looking like for December the eleventh, 2034 in MD",GetWeather,LABEL_2
